Jurisdiction,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
VN,,,,,,,,,,,,,,,,,,,,,,,,,,14094687821,26336616250,36658108850,25423812649,6293304975,6471740806,9613369520,9866990236,13180953598,16286433533,20736164459,24657470575,26843700442,27209602050,28683659007,31172518403,32685198735,35064105501,39552513316,45427854693,57633255618,66371664817,77414425532,99130304099,1.06E+11,1.16E+11,1.36E+11,1.56E+11,1.71E+11,1.86E+11,1.93E+11,2.05E+11,2.24E+11,2.45E+11
ZA,7575396973,7972996814,8497996604,9423396234,10373995855,11334395471,12354995063,13777394495,14894594048,16780393295,18418392640,20333691315,21357435928,29295674713,36807721039,38114542813,36603349968,40651349965,46739449959,57645721016,82980483391,85454420504,78423059791,87415851379,77344092904,59082638803,67521602553,88573697222,95176640968,99030856825,1.16E+11,1.24E+11,1.35E+11,1.34E+11,1.40E+11,1.55E+11,1.48E+11,1.53E+11,1.38E+11,1.37E+11,1.36E+11,1.22E+11,1.15E+11,1.75E+11,2.29E+11,2.58E+11,2.72E+11,2.99E+11,2.87E+11,2.96E+11,3.75E+11,4.16E+11,3.96E+11,3.67E+11,3.51E+11,3.18E+11,2.96E+11,3.50E+11,3.68E+11
ZM,713000000,696285714.3,693142857.1,718714285.7,839428571.4,1082857143,1264285714,1368000000,1605857143,1965714286,1825285714,1687000000,1910714286,2268714286,3121833333,2618666667,2746714286,2483000000,2813375000,3325500000,3829500000,3872666667,3994777778,3216307692,2739444444,2281258065,1661948718,2269894737,3713614458,3998637681,3285217391,3378882353,3181921788,3273237853,3656647744,3807067122,3597220962,4303281932,3537683046,3404311977,3600683040,4094480988,4193845678,4901839731,6221077675,8331870169,12756858899,14056957976,17910858638,15328342304,20265556274,23460098340,25503370699,28045460442,27150630607,21243350633,20954754378,25868142077,26720073436
ZW,1052990400,1096646600,1117601600,1159511700,1217138000,1311435800,1281749500,1397002000,1479599900,1747998800,1884206300,2178716300,2677729400,3309353600,3982161400,4371300700,4318372000,4364382100,4351600500,5177459400,6678868200,8011373800,8539700700,7764067000,6352125900,5637259300,6217523700,6741215100,7814784100,8286322700,8783816700,8641481700,6751472200,6563813300,6890675000,7111270700,8553146600,8529571600,6401968200,6858013100,6689957600,6777384700,6342116400,5727591800,5805598400,5755215200,5443896500,5291950100,4415702800,9665793300,12041655200,14101920300,17114849900,19091020000,19495519600,19963120600,20548678100,22813010116,31000519447
EP,2.79E+11,2.96E+11,3.23E+11,3.57E+11,3.95E+11,4.30E+11,4.79E+11,5.16E+11,5.40E+11,5.97E+11,8.78E+11,9.92E+11,1.19E+12,1.51E+12,1.71E+12,2.00E+12,2.08E+12,2.35E+12,2.88E+12,3.52E+12,3.99E+12,3.56E+12,3.43E+12,3.32E+12,3.20E+12,3.31E+12,4.51E+12,5.62E+12,6.25E+12,6.38E+12,8.07E+12,8.38E+12,9.11E+12,8.36E+12,8.83E+12,1.03E+13,1.06E+13,9.97E+12,1.04E+13,1.03E+13,9.66E+12,9.71E+12,1.06E+13,1.29E+13,1.49E+13,1.57E+13,1.68E+13,1.95E+13,2.10E+13,1.88E+13,1.89E+13,2.05E+13,1.95E+13,2.03E+13,2.09E+13,1.85E+13,1.86E+13,1.94E+13,2.08E+13
OA,3955746814,4265389486,4495296001,4764593813,5236001678,5548970069,5865553139,6341976631,6875877845,7046243349,7305179912,7840902913,9119606638,11371718130,13941939287,17680617638,19973555341,22581091124,26597628057,32068389498,37070044695,34203274640,32182752439,30173094995,30026076415,31196276334,41799131932,47141249102,49312709665,47518476987,54210717731,55298221824,54951682119,56020714967,43200585668,50291195446,54370811447,52934389650,54173770230,56700429295,52178669929,54748880746,60603959274,75972027764,89806830564,1.01E+11,1.12E+11,1.33E+11,1.64E+11,1.53E+11,1.61E+11,1.84E+11,1.88E+11,2.02E+11,2.14E+11,1.83E+11,1.87E+11,2.03E+11,2.27E+11
GC,0,0,0,0,0,2160739289,2459255111,2549045747,7039762176,7495290790,8809409009,11753934421,14992476151,21632603439,62465053307,78127662211,1.02E+11,1.20E+11,1.26E+11,1.77E+11,2.54E+11,2.78E+11,2.40E+11,2.11E+11,2.03E+11,1.86E+11,1.54E+11,1.61E+11,1.63E+11,1.81E+11,2.10E+11,2.18E+11,2.36E+11,2.37E+11,2.45E+11,2.64E+11,2.94E+11,3.09E+11,2.79E+11,3.11E+11,3.78E+11,3.68E+11,3.87E+11,4.44E+11,5.36E+11,6.81E+11,8.17E+11,9.32E+11,1.18E+12,9.58E+11,1.14E+12,1.44E+12,1.58E+12,1.62E+12,1.64E+12,1.39E+12,1.36E+12,1.46E+12,1.65E+12
EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,2331358820,5.58E+11,5.10E+11,5.85E+11,5.80E+11,5.16E+11,4.87E+11,4.42E+11,4.40E+11,4.38E+11,4.52E+11,3.20E+11,2.36E+11,3.03E+11,3.55E+11,4.01E+11,4.99E+11,6.81E+11,8.82E+11,1.15E+12,1.51E+12,1.95E+12,1.47E+12,1.83E+12,2.42E+12,2.61E+12,2.75E+12,2.51E+12,1.72E+12,1.57E+12,1.91E+12,2.01E+12
TW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.79E+11,2.93E+11,3.04E+11,2.30E+11,3.04E+11,3.31E+11,3.00E+11,3.09E+11,3.19E+12,3.49E+11,3.76E+11,3.84E+11,4.08E+11,3.92E+11,4.17E+11,4.46E+11,4.86E+11,4.96E+11,5.12E+11,5.26E+11,5.31E+11,5.31E+11,5.75E+11,5.90E+11
WO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
